City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
13,Naze,JP,74.32,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
16,Kananga,CD,70.07,broken clouds,-5.8958,22.4178,Guest House Wood Land
20,Rikitea,PF,71.29,clear sky,-23.1203,-134.9692,Pension Maro'i
21,Bartica,GY,80.92,broken clouds,6.4,-58.6167,Relax Inn Hotel
23,Mahebourg,MU,73.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
25,Zhanaozen,KZ,77.58,clear sky,43.3,52.8,K.korabay 28A
28,Rayachoti,IN,85.06,overcast clouds,14.05,78.75,Swetha lodge
30,Sao Filipe,CV,72.61,broken clouds,14.8961,-24.4956,Hotel Xaguate
32,Guerrero Negro,MX,72.43,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
34,Antalaha,MG,72.37,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
36,Paranaiba,BR,74.21,scattered clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
37,Kapaa,US,83.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Saint-Philippe,RE,74.75,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
39,Huangzhou,CN,80.78,overcast clouds,30.45,114.8,Manjianghong Business Hotel
45,Damietta,EG,76.89,clear sky,31.4165,31.8133,SULIMAN INN
48,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
53,Mogadishu,SO,78.24,broken clouds,2.0371,45.3438,Hotel Juba
54,Atuona,PF,79.97,few clouds,-9.8,-139.0333,Villa Enata
59,Bambous Virieux,MU,73.22,scattered clouds,-20.3428,57.7575,Casa Tia Villa
60,High Level,CA,82.51,few clouds,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
61,Sioux Lookout,CA,75.58,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
63,Vaini,TO,71.76,light rain,-21.2,-175.2,Keleti Beach Resort
64,Madinat Sittah Uktubar,EG,75.56,clear sky,29.8167,31.05,Happy Kennel Academy
67,Urgut,UZ,78.42,few clouds,39.4022,67.2431,Inn / UTMEDU
68,Victoria,HK,80.94,overcast clouds,22.2855,114.1577,Mini Hotel Central
72,Hithadhoo,MV,83.61,overcast clouds,-0.6,73.0833,Scoop Guest House
73,Saint-Pierre,RE,74.84,broken clouds,-21.3393,55.4781,Lindsey Hôtel
74,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
78,Kavieng,PG,78.78,light rain,-2.5744,150.7967,Nusa Island Retreat
79,Faya,SA,73.51,clear sky,18.3851,42.4509,مقبرة ال مجمل
82,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Gorontalo,ID,74.88,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
84,Hilo,US,83.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
88,Yining,CN,74.16,overcast clouds,29.0361,114.5636,Xiushui Hotel
90,Katsuura,JP,72.1,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
91,Sabha,LY,87.69,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
93,Albert Lea,US,78.84,clear sky,43.648,-93.3683,Countryside Motel Albert Lea
94,Bat Khela,PK,73.76,broken clouds,34.6167,71.9714,Electric and pipe fitting
95,Kodinar,IN,82.27,clear sky,20.7903,70.7031,residency of N.B vadhel
96,Jamestown,US,70.09,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
97,Bainbridge,US,89.73,clear sky,47.6262,-122.5212,Bainbridge Island Country Inn
98,Alofi,NU,71.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
104,Butaritari,KI,83.12,light rain,3.0707,172.7902,Isles Sunset Lodge
111,Itarema,BR,78.44,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
115,Sibolga,ID,77.22,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
119,Ardakan,IR,87.58,clear sky,32.31,54.0175,Ardakan Hotel
122,Carutapera,BR,77.59,light rain,-1.195,-46.02,Lidera
128,Sambava,MG,70.11,few clouds,-14.2667,50.1667,Melrose
130,Stephenville,US,71.73,overcast clouds,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
131,Pontian Kecil,MY,82.49,scattered clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
141,Bethel,US,77.04,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
144,Quixada,BR,78.06,broken clouds,-4.9714,-39.0153,Hotel Vale das Pedras
147,Tabou,CI,78.8,overcast clouds,4.423,-7.3528,hotêl doufoulougou
150,Bousse,BF,89.17,broken clouds,12.6606,-1.8922,Maison d'hôtes EBEN-EZER DE BOUSSE
152,San Patricio,US,84.07,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
153,Lamu,KE,79.02,light rain,-2.2717,40.902,Lamu House
154,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
155,Isangel,VU,71.71,broken clouds,-19.55,169.2667,Tanna Lodge
157,Pingshan,CN,76.96,overcast clouds,22.9938,114.7131,Island Skylight Resort
161,Salalah,OM,80.31,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
163,Grand-Santi,GF,75.92,moderate rain,4.25,-54.3833,Hotel La Villa Couacou
166,Kendari,ID,73.65,overcast clouds,-3.945,122.4989,Hotel Wixel
168,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
169,Abha,SA,73.22,clear sky,18.2164,42.5053,Abha Hotel
173,Altamira,BR,82.49,few clouds,-3.2033,-52.2064,Requinte Hotel
174,Basco,PH,83.77,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
177,Bubaque,GW,79.45,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
180,Kirakira,SB,81.25,overcast clouds,-10.4544,161.9205,SanBiz Lodge
181,Russell,US,86.95,clear sky,32.3502,-85.1999,Macs
182,Fomboni,KM,79.68,clear sky,-12.28,43.7425,Pension Paradis
186,Sinnamary,GF,76.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
187,Danville,US,81.36,overcast clouds,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
189,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
190,Natchez,US,83.64,light rain,31.5604,-91.4032,Hampton Inn & Suites Natchez
195,Bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
199,Arraial Do Cabo,BR,73.36,few clouds,-22.9661,-42.0278,Pousada Porto Praia
202,Lorengau,PG,78.48,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
203,Miramar,US,84.0,clear sky,25.9873,-80.2323,Miramar
204,Wamba,NG,75.18,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
206,Sederot,IL,72.79,clear sky,31.525,34.5969,Ginkhou Inn
208,Loanda,AO,77.0,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
212,Reynoldsburg,US,76.82,overcast clouds,39.9548,-82.8121,La Quinta Inn by Wyndham Columbus Airport Area
214,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
215,Dullewala,PK,87.67,clear sky,31.8359,71.4362,Sajid fruit shop
217,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
218,Puri,IN,88.38,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
220,Kavaratti,IN,83.48,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
222,Fukue,JP,70.3,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
224,Thanh Hoa,VN,83.1,broken clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
225,Samarai,PG,78.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
227,San Juan,AR,73.72,broken clouds,-31.5375,-68.5364,Hotel Provincial
236,Umm Lajj,SA,88.27,scattered clouds,25.0213,37.2685,Moon light Furnished Units
242,Faanui,PF,79.9,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
243,Valparaiso,CL,73.04,clear sky,-33.0393,-71.6273,Hotel Ultramar
244,Ithaca,US,75.2,overcast clouds,42.4406,-76.4966,Meadow Court Inn
246,Topeka,US,73.74,overcast clouds,39.0483,-95.678,Capitol Plaza Hotel Topeka
