City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tierra Colorada,MX,17.1667,-99.5833,91.63,48,83,6.71,broken clouds
1,Iqaluit,CA,63.7506,-68.5145,31.73,100,90,8.01,light snow
2,Carnarvon,AU,-24.8667,113.6333,55.47,82,81,12.66,broken clouds
3,Upernavik,GL,72.7868,-56.1549,31.39,88,30,6.98,scattered clouds
4,Varkaus,FI,62.3153,27.873,52.3,67,98,3.58,overcast clouds
5,Ushuaia,AR,-54.8,-68.3,29.86,100,75,11.5,broken clouds
6,Nicoya,CR,10.1483,-85.452,90.95,53,91,6.35,overcast clouds
7,Leningradskiy,RU,69.3833,178.4167,30.74,83,53,14.83,broken clouds
8,Morondava,MG,-20.2833,44.2833,69.76,85,100,6.82,overcast clouds
9,Angarsk,RU,52.5367,103.8864,39.92,95,77,4.32,broken clouds
10,Hermanus,ZA,-34.4187,19.2345,55.9,80,32,4.76,scattered clouds
11,Sitka,US,57.0531,-135.33,58.01,78,100,3.89,overcast clouds
12,Litovko,RU,49.2361,135.1742,53.6,97,100,9.31,overcast clouds
13,Naze,JP,28.3667,129.4833,74.32,88,99,13.58,overcast clouds
14,Khatanga,RU,71.9667,102.5,36.81,99,100,3.44,light rain
15,Saldanha,ZA,-33.0117,17.9442,53.65,86,1,9.55,clear sky
16,Kananga,CD,-5.8958,22.4178,70.07,47,82,3.58,broken clouds
17,Hualmay,PE,-11.0964,-77.6139,66.49,81,99,11.1,overcast clouds
18,San Vicente,AR,-26.6167,-54.1333,58.8,73,0,2.21,clear sky
19,Mataura,NZ,-46.1927,168.8643,49.48,92,100,3.53,overcast clouds
20,Rikitea,PF,-23.1203,-134.9692,71.29,56,1,20.74,clear sky
21,Bartica,GY,6.4,-58.6167,80.92,98,83,4.07,broken clouds
22,Barrow,US,71.2906,-156.7887,31.57,81,100,13.85,overcast clouds
23,Mahebourg,MU,-20.4081,57.7,73.26,88,40,6.91,scattered clouds
24,Port Alfred,ZA,-33.5906,26.891,60.04,85,84,9.37,broken clouds
25,Zhanaozen,KZ,43.3,52.8,77.58,36,0,3.31,clear sky
26,Sokolo,ML,14.7328,-6.1219,99.86,17,10,4.18,clear sky
27,Riosucio,CO,5.4216,-75.7032,66.63,95,100,1.88,overcast clouds
28,Rayachoti,IN,14.05,78.75,85.06,56,97,0.65,overcast clouds
29,Geraldton,AU,-28.7667,114.6,50.41,87,0,8.28,clear sky
30,Sao Filipe,CV,14.8961,-24.4956,72.61,80,67,4.74,broken clouds
31,Qaanaaq,GL,77.484,-69.3632,30.34,84,88,4.97,overcast clouds
32,Guerrero Negro,MX,27.9769,-114.0611,72.43,51,1,14.25,clear sky
33,Bredasdorp,ZA,-34.5322,20.0403,47.52,93,8,3.42,clear sky
